"","team","wins","losses","ties","win_perc","offensive_rating","defensive_rating","rank","overall_rating","power_rating"
"198","Portland St.",12,38,0,0.24,-1.60566413669654,-2.12049916777053,180,0.116396524665276,0.386065366429002
"199","Prairie View",27,20,0,0.574468085106383,-0.662204107157343,-0.548530355020219,300,0.312213194449779,0.538980957463651
"200","Presbyterian",21,29,0,0.42,-1.45351558510411,-0.993061022023679,247,0.220071552168983,0.467026441518828
"201","Princeton",26,15,0,0.634146341463415,0.623592630254154,0.92698160653784,160,0.524069657484345,0.704422215836049
"202","Providence",22,29,0,0.431372549019608,-0.16526286532398,-0.0297347091295534,141,0.389846649214492,0.599605855397377
"203","Purdue",28,22,0,0.56,0.0532512391418577,1.30988335645631,50,0.515677876323569,0.69786897306338
"204","Purdue Fort Wayne",19,24,0,0.441860465116279,-0.510221076176259,-0.379856024257516,232,0.336781955954368,0.558166998624488
"205","Queens (NC)",16,36,0,0.307692307692308,-1.74504933818785,-1.29117526213559,131,0.175042212775924,0.431862489160906
"206","Quinnipiac",18,27,0,0.4,-0.898266663568879,0.697358959925842,218,0.398447175636953,0.60632210985389
"207","Radford",29,24,0,0.547169811320755,-0.168755875496564,1.47578151845587,106,0.513801622061066,0.696403783558331
"208","Rhode Island",13,35,0,0.270833333333333,-2.28110972426844,-1.76043624407869,265,0.0987530176906304,0.37228733976804
"209","Rider",24,31,0,0.436363636363636,-1.31021638681872,0.205871718184054,257,0.32902431111666,0.552108960528444
"210","Robert Morris",27,15,0,0.642857142857143,0.289621354583396,-0.245516934080238,281,0.403931880861496,0.610605182086631
"211","Rutgers",20,36,0,0.357142857142857,-1.78570634394716,-0.568573157773305,67,0.231804382402479,0.476188749669808
"212","Sacramento St.",26,21,0,0.553191489361702,0.102582213173731,-0.217324628365078,193,0.393146562636679,0.60218279745176
"213","Sacred Heart",21,27,0,0.4375,-0.919653954437745,0.337068621242613,262,0.367225274062009,0.581940551645326
"214","Saint Francis",23,24,0,0.48936170212766,-0.406665619867101,-1.53282334848756,261,0.248925220741264,0.489558618110861
"215","Saint Joseph&#39;s",28,23,0,0.549019607843137,-0.41976854717119,-0.103624106724942,206,0.365910672277695,0.580913963311223
"216","Saint Louis",30,21,0,0.588235294117647,0.643430172340004,0.798865372781053,255,0.514891089670543,0.697254561909325
"217","Saint Mary&#39;s (CA)",26,21,0,0.553191489361702,0.427168881706439,0.999228616179588,81,0.5162608553857,0.69832422842006
"218","Saint Peter&#39;s",13,35,0,0.270833333333333,-1.3516336694727,-1.68943986786763,304,0.169764458401217,0.427741027334228
"219","Sam Houston",28,26,0,0.518518518518518,-0.54145652407765,1.12090433135726,70,0.458399894338693,0.653139908484108
"220","Samford",32,21,0,0.60377358490566,1.87969892794869,0.284050468761885,105,0.559080727113708,0.731762780921857
"221","San Diego",19,29,0,0.395833333333333,-0.820445645624217,0.433377286803939,128,0.382124714392707,0.59357570368198
